race,rent_monthly,monthly_income_gross,income_verified,income_stability,savings_buffer_months,guarantor_available,verified_rental_debt_flag,credit_score,rent_history_reported,rent_on_time_rate_12m,rent_late_or_nsf_count_12m,utility_on_time_rate_12m,approved
Asian,1223.16,3989.8,1,0.8814,0.97,1,0,637,0,,,,1
Asian,2080.34,4914.69,0,0.9116,1.52,0,0,622,1,0.9121,0.0,,1
Asian,3095.17,10073.83,0,0.6482,1.39,0,1,741,1,0.909,0.0,0.9667,1
White,3360.63,8443.78,1,0.6916,3.02,0,0,652,0,,,0.9359,1
White,2709.44,5886.88,0,0.408,2.14,0,0,663,1,0.8633,4.0,0.993,1
White,2105.14,5154.17,1,0.6555,0.65,0,0,669,1,0.9825,0.0,,1
White,2046.24,6987.54,1,0.7412,3.23,1,0,638,1,0.8287,2.0,0.9078,1
White,1905.16,7722.58,0,0.8927,0.97,0,0,671,0,,,,0
Black,887.85,3889.27,1,0.8444,2.32,0,0,621,1,0.8506,0.0,,1
White,1368.34,5060.95,1,0.9335,4.53,0,0,774,1,0.938,0.0,,1
White,1208.73,2748.27,1,0.6868,1.16,0,0,689,0,,,,1
White,2452.17,7704.04,1,0.7007,1.21,0,1,672,1,0.9889,3.0,0.9368,1
White,3234.57,10712.56,0,0.6339,1.68,1,0,657,1,0.9582,1.0,,1
Asian,1550.96,5347.81,1,0.6752,1.73,0,0,654,0,,,0.9284,1
Asian,1047.75,2471.7,1,0.7907,2.19,0,0,559,1,0.9015,4.0,0.9077,1
Indigenous,1824.7,6435.12,1,0.8614,2.69,1,0,677,1,0.8983,1.0,,1
Asian,1062.67,3789.47,1,0.7806,0.92,0,0,707,1,0.9,2.0,,1
White,1590.74,4122.61,1,0.6997,1.86,0,0,596,0,,,0.9636,1
Indigenous,1666.72,6475.08,0,0.7744,0.8,0,0,626,0,,,,1
White,2822.52,5684.55,1,0.8149,2.93,1,0,615,0,,,,1
White,1085.73,4383.38,0,0.7152,3.72,0,0,692,1,0.8862,2.0,,1
White,1833.26,4142.49,1,0.5757,1.38,0,0,700,1,0.979,1.0,,1
Asian,2263.31,5434.14,1,0.3637,2.06,0,0,625,0,,,,1
White,1851.16,4505.71,1,0.6779,4.37,0,1,645,0,,,0.9531,1
White,1329.07,3526.92,1,0.8992,2.42,0,0,685,1,0.9234,0.0,0.9433,1
White,1805.13,4628.63,0,0.6947,0.81,0,0,635,1,0.9536,1.0,0.9134,1
White,1906.85,5856.29,1,0.7014,0.49,1,0,635,1,0.94,1.0,,1
Asian,1747.76,4885.75,1,0.6878,1.04,0,0,629,0,,,0.9834,1
White,1271.79,3170.63,0,0.7695,1.59,0,0,657,1,0.9643,0.0,,1
White,2554.66,7350.96,0,0.8085,3.16,0,0,668,1,0.8923,0.0,0.8645,1
White,997.61,1993.86,1,0.5324,1.48,0,0,618,0,,,0.9647,0
Asian,1308.17,4447.89,1,0.723,0.75,0,0,679,1,0.8958,0.0,0.8199,0
White,1312.12,4185.35,0,0.7371,1.55,1,0,668,1,0.9302,1.0,0.9539,1
White,1741.5,5476.8,0,0.7653,1.61,1,0,682,1,0.9703,3.0,0.9357,1
White,1625.41,6329.62,1,0.7609,1.08,0,0,655,0,,,0.9521,1
Other,2606.58,7713.92,1,0.8431,1.49,0,0,628,1,0.9946,0.0,0.9645,1
Other,1055.52,4052.43,1,0.8665,2.08,1,0,630,0,,,0.972,1
Asian,2379.9,6385.07,1,0.9624,0.43,0,0,663,0,,,0.906,1
White,2328.63,5568.89,1,0.7242,1.61,0,0,714,1,0.9319,1.0,,1
Other,1091.14,2856.56,1,0.8407,7.18,1,1,720,1,0.9676,1.0,,1
Indigenous,4116.71,10113.26,1,0.6707,2.37,0,0,727,1,0.9338,0.0,,1
Asian,815.94,3142.72,1,0.7207,3.19,0,0,672,1,0.8706,0.0,0.8521,1
White,1665.17,6022.38,1,0.6282,4.34,0,0,676,1,0.8187,2.0,0.9615,1
White,2353.39,5960.44,1,0.8942,4.86,1,0,722,1,0.9088,2.0,,1
White,2528.89,5726.65,1,0.9355,1.24,0,0,721,1,0.9801,0.0,0.9435,1
Other,1803.59,4373.47,0,0.8218,0.47,0,0,697,1,0.9541,0.0,,0
White,2708.13,6946.22,0,0.7835,3.54,0,0,702,1,0.9369,0.0,0.9118,1
White,1186.61,3011.78,1,0.3883,1.6,1,0,596,1,0.9404,2.0,0.9362,1
White,2059.75,5081.56,0,0.8756,1.66,0,0,665,1,0.9309,0.0,0.9651,0
Asian,1731.93,4268.67,0,0.6413,2.67,0,0,558,1,0.8339,1.0,0.9887,1
White,1665.44,4102.53,1,0.9595,1.89,1,0,643,0,,,0.9456,1
Black,1593.28,6041.91,0,0.6647,2.22,0,1,623,1,0.8501,1.0,,0
Indigenous,2159.05,7581.99,1,0.7924,2.34,0,0,589,0,,,0.8519,1
Asian,1631.37,4611.34,1,0.8631,3.58,0,1,675,1,0.9244,2.0,,0
White,2711.99,6833.91,0,0.8755,2.51,0,0,621,0,,,0.818,1
Asian,2110.36,5291.32,1,0.9267,0.79,0,0,639,0,,,0.9007,1
Asian,1323.84,3804.57,1,0.6977,0.77,1,0,700,1,0.955,0.0,0.9622,1
Asian,1267.61,4751.1,1,0.7962,1.15,0,0,636,1,0.9652,0.0,,1
White,2048.77,4682.53,1,0.7123,2.41,0,0,670,0,,,,1
White,1087.87,4074.82,1,0.5088,0.84,1,0,648,1,0.7745,0.0,0.9479,1
White,2444.43,6041.35,1,0.8993,0.84,0,0,663,0,,,0.8972,1
White,1707.58,5645.08,0,0.9701,2.3,0,0,632,1,0.8794,1.0,,1
White,914.47,2980.02,1,0.9286,1.23,0,0,683,0,,,,1
White,901.47,2917.2,0,0.8545,4.62,0,0,682,1,0.9333,0.0,,1
White,1871.9,6033.32,1,0.5415,1.28,0,1,677,1,0.8873,0.0,0.9216,1
Asian,1106.55,3909.1,1,0.5725,3.0,0,0,631,0,,,,1
White,1663.05,5779.82,0,0.8178,1.7,0,0,637,1,0.9661,0.0,0.9917,1
Other,2232.01,6834.51,1,0.9154,0.71,0,0,675,1,0.9417,1.0,,1
Asian,1030.15,3332.84,1,0.8128,1.25,1,0,680,1,0.9685,3.0,0.934,1
White,1421.81,3172.82,0,0.9342,1.78,0,0,660,1,0.9583,2.0,0.9147,1
Asian,2619.65,9343.77,1,0.5193,1.27,1,0,643,1,0.9554,1.0,0.9317,1
White,1766.27,5880.89,1,0.6536,4.3,1,0,642,1,0.9148,2.0,0.9351,1
Other,1326.59,4490.32,0,0.8249,0.93,0,0,693,1,0.9485,1.0,,1
White,1599.73,3750.09,1,0.6589,1.38,0,0,703,1,0.9464,1.0,0.8997,1
Indigenous,1846.53,4349.25,1,0.6429,2.49,0,0,678,1,0.8624,2.0,,1
White,1451.95,3427.94,1,0.9163,5.52,0,0,724,1,0.9703,0.0,0.9427,1
White,3175.94,7084.1,1,0.4761,2.73,0,0,657,1,0.991,0.0,0.992,1
White,1586.59,3962.19,1,0.8504,2.38,0,0,646,1,0.8425,3.0,0.9636,1
Other,3052.31,7624.72,1,0.7869,3.26,0,0,652,0,,,0.8803,1
Asian,1397.04,4519.67,1,0.8433,3.84,0,0,633,0,,,0.8365,1
White,1551.68,3609.2,0,0.9659,4.36,1,1,596,1,0.9231,2.0,,0
White,1356.29,4479.24,0,0.8662,2.72,0,0,645,1,0.9266,2.0,0.9511,1
White,869.54,2075.5,1,0.9454,2.17,0,0,700,1,0.8762,3.0,,1
White,2244.88,4984.78,1,0.6972,0.96,0,0,689,1,0.9184,0.0,0.9681,1
White,1967.89,4899.42,1,0.7898,2.28,0,0,682,1,0.9703,0.0,0.9274,1
White,3023.88,6940.12,1,0.8813,4.88,0,0,620,1,0.8874,2.0,0.9948,1
Indigenous,736.2,2687.07,1,0.6786,0.22,1,0,697,1,0.9021,0.0,0.9924,1
Black,2522.31,7809.27,0,0.8734,4.07,0,0,719,1,0.9348,2.0,0.8608,1
White,2080.69,6930.06,1,0.6844,2.16,0,0,684,1,0.9892,3.0,,1
Asian,2913.15,8059.68,0,0.7577,3.49,0,0,644,1,0.9541,0.0,0.9815,1
White,1799.34,5104.93,0,0.8377,2.8,0,0,653,1,0.9599,0.0,0.9677,1
Asian,2248.57,7415.13,1,0.9599,1.94,0,0,632,1,0.941,1.0,0.8646,1
White,1242.97,3107.2,1,0.7162,2.16,1,0,743,1,0.972,2.0,0.9683,1
Asian,2243.06,6674.04,1,0.8921,2.95,0,0,677,1,0.9186,1.0,0.9282,1
Asian,1418.63,3969.94,1,0.675,1.01,1,0,706,1,0.9353,0.0,,1
Indigenous,1167.66,2917.33,0,0.6727,1.95,1,0,658,0,,,0.9444,1
White,1450.16,3508.57,1,0.6259,2.69,0,0,678,1,0.899,1.0,,0
Other,1749.63,5210.08,1,0.8308,3.15,0,0,619,0,,,,1
White,1064.65,3896.79,0,0.8683,2.95,0,0,583,1,0.7844,3.0,0.7876,1
White,1817.35,5931.54,0,0.9524,1.58,0,0,619,1,0.8352,0.0,0.9678,1
Asian,1250.47,2761.5,1,0.4526,2.05,0,0,657,1,0.9172,2.0,,1
White,913.68,2469.89,0,0.642,0.77,1,0,635,1,0.8931,2.0,,1
Indigenous,2190.05,8406.41,1,0.6922,3.93,0,0,627,0,,,,1
Indigenous,3203.97,7134.83,1,0.7675,2.33,1,0,683,1,0.9723,1.0,0.915,1
White,1454.17,3601.7,1,0.7288,2.05,0,0,618,1,0.9088,0.0,0.9511,1
Other,2070.18,5194.54,1,0.8227,2.04,0,0,575,1,0.6938,1.0,,1
White,2742.18,7429.7,1,0.8002,1.72,0,0,733,1,0.9915,0.0,,1
White,2920.37,6021.76,1,0.7973,3.19,0,0,692,0,,,,1
White,1614.23,5476.89,1,0.652,2.08,1,0,697,1,0.8531,2.0,,1
Other,2308.77,7629.04,0,0.4079,0.94,0,0,658,1,0.9649,2.0,,1
White,1906.19,4026.55,1,0.6325,1.18,1,0,634,1,0.9155,4.0,,1
White,2539.06,5257.06,1,0.8371,0.67,0,0,719,1,0.9784,1.0,0.9951,1
White,2046.17,5167.62,1,0.8533,4.76,0,0,633,1,0.9663,0.0,,1
Other,1139.54,4726.53,1,0.7301,1.82,0,0,665,1,0.9433,1.0,0.9297,1
Black,1418.65,4536.82,1,0.6267,5.08,1,0,692,1,0.9632,1.0,0.8717,1
Asian,2251.59,5334.33,1,0.8354,2.23,0,0,642,1,0.8897,2.0,0.9264,1
Black,2199.57,5263.0,1,0.4187,1.52,0,0,703,1,0.9056,1.0,0.9712,1
Black,1401.16,3602.79,0,0.871,1.75,0,0,649,0,,,,1
White,2069.84,6884.6,1,0.931,2.18,1,0,625,1,0.9194,1.0,,1
White,1354.68,3694.79,1,0.8421,0.97,1,0,646,1,0.9305,2.0,0.9751,1
Indigenous,1945.61,4817.61,0,0.4741,0.75,1,0,660,1,0.9839,0.0,,1
Asian,1526.98,4689.43,0,0.8765,3.69,0,0,707,1,0.9298,1.0,0.9267,1
White,2196.51,5894.35,1,0.8735,1.47,1,0,702,1,0.9485,1.0,,1
White,1106.03,2476.81,0,0.8088,5.16,0,0,671,0,,,0.7637,1
Asian,2309.25,7102.71,1,0.78,2.75,0,0,688,1,0.9358,2.0,0.9471,1
White,1430.34,4102.97,1,0.5795,1.39,1,0,685,1,0.855,1.0,,1
Other,2731.94,7969.69,1,0.9547,6.37,0,0,710,1,0.9242,5.0,0.9218,1
White,1434.18,4398.66,1,0.7594,3.8,1,0,670,1,0.9254,0.0,0.8994,1
White,2094.26,5111.86,0,0.7312,0.58,0,0,670,1,0.9716,2.0,,1
Black,3792.39,10160.26,1,0.7589,1.1,1,0,646,0,,,,1
White,1728.74,4718.97,0,0.661,0.05,0,0,682,1,0.9871,2.0,0.6919,1
White,2153.67,8022.55,0,0.8034,1.64,0,0,702,1,0.9789,0.0,0.9694,1
Asian,1966.67,5271.55,1,0.6419,5.87,1,0,699,0,,,0.8868,1
Black,1610.94,6013.79,1,0.737,0.41,0,0,749,1,0.9986,0.0,,1
White,1279.95,5328.9,1,0.7524,2.44,0,0,646,1,0.8267,2.0,0.96,1
White,2436.14,6996.48,0,0.7293,7.27,0,0,688,1,0.9148,2.0,,1
Indigenous,1460.26,4090.73,1,0.8316,1.72,1,0,593,0,,,0.9049,1
Other,1777.04,3684.89,0,0.9325,2.34,1,0,665,1,0.8549,2.0,0.9642,1
White,1554.91,4158.51,1,0.8644,1.45,0,0,729,1,0.9364,2.0,0.8659,1
White,2270.98,5384.68,1,0.974,1.08,0,0,555,1,0.9423,2.0,0.9419,1
White,1519.49,4813.25,0,0.4882,3.12,0,0,702,1,0.9398,1.0,0.8927,1
White,2509.28,6667.57,1,0.7237,3.18,0,0,680,0,,,0.912,1
White,3715.69,8209.69,1,0.7668,2.6,0,0,642,0,,,,1
Asian,1395.4,3695.5,1,0.8512,1.28,1,0,689,1,0.9386,2.0,,1
White,1556.82,4021.99,0,0.9195,2.63,0,0,633,0,,,0.9714,1
White,1142.81,3145.51,0,0.615,0.55,0,0,712,1,0.8727,2.0,,1
Asian,3156.64,10583.43,1,0.6307,2.81,0,0,682,0,,,0.8482,1
Asian,2028.57,5785.14,1,0.8816,1.02,1,0,684,1,0.9727,2.0,,1
White,1859.37,6150.84,1,0.6678,0.96,0,0,633,1,0.9615,1.0,0.8267,1
Indigenous,1055.71,3253.03,1,0.9039,4.93,0,0,623,0,,,0.9594,1
Asian,1494.33,5197.87,1,0.9642,0.16,0,0,599,1,0.9492,1.0,0.9327,1
Asian,1840.55,6214.56,1,0.6052,1.68,0,0,646,0,,,0.9315,1
White,1433.16,4759.74,0,0.6846,0.6,1,0,683,1,0.9723,2.0,0.9459,1
White,3141.62,7577.29,1,0.4934,2.13,0,0,681,1,0.9706,0.0,0.9356,1
Other,3848.05,11679.08,0,0.6603,1.11,0,0,682,1,0.9772,0.0,0.9377,1
White,1547.56,3732.9,1,0.5291,0.64,0,0,671,1,0.9436,0.0,0.9269,1
White,1300.79,3636.16,1,0.7868,1.47,1,0,648,1,0.9561,1.0,0.9632,1
White,973.09,3824.56,1,0.7672,0.9,0,0,675,1,0.9886,1.0,,1
Asian,2518.63,9123.27,1,0.4899,0.93,1,0,656,0,,,0.8693,1
Other,3267.05,7489.36,1,0.8964,2.88,0,0,609,1,0.9139,1.0,0.8839,1
White,1948.81,4959.1,0,0.8344,0.52,0,0,731,1,0.9586,1.0,0.9717,1
Other,2185.6,5266.97,1,0.9514,0.21,0,0,633,0,,,0.9943,1
White,1215.65,3907.39,1,0.7496,2.22,0,0,652,1,0.9465,1.0,0.8609,1
Asian,2898.87,7100.52,0,0.8316,1.67,0,0,672,1,0.7883,1.0,0.9043,0
Asian,1792.74,4552.57,1,0.7118,1.08,0,0,687,0,,,0.9862,1
White,2201.79,4747.56,1,0.7747,2.86,0,0,740,1,0.9544,1.0,0.9128,1
White,1513.93,6434.89,1,0.7726,5.2,1,0,735,1,0.9532,0.0,,1
White,2299.78,4868.86,1,0.948,1.84,1,0,600,0,,,,1
Other,1664.26,4789.47,1,0.885,1.87,1,0,689,1,0.9457,1.0,0.946,1
Asian,2238.44,5219.28,1,0.8195,0.72,0,0,717,1,0.9409,0.0,0.8467,1
Other,2669.28,6869.1,1,0.6647,0.55,0,0,703,1,0.8951,0.0,0.9056,1
Indigenous,3411.14,9252.85,1,0.714,1.72,0,0,627,1,0.9196,0.0,0.977,1
White,2044.09,6382.62,0,0.9118,0.39,1,0,634,1,0.8799,1.0,,1
Indigenous,3097.0,6888.26,1,0.9055,0.33,0,0,623,0,,,,1
White,1737.58,4848.7,1,0.7091,2.46,0,0,674,0,,,,1
White,1371.72,4058.97,0,0.7529,0.55,0,0,630,0,,,,1
Indigenous,2418.53,6537.49,1,0.7688,2.54,0,0,667,0,,,0.887,1
Indigenous,2380.83,5521.19,0,0.5761,4.0,0,0,688,1,0.9879,0.0,0.9303,1
White,1110.48,3160.53,0,0.8903,2.34,0,0,675,1,0.8631,2.0,,1
White,1907.44,4635.92,1,0.723,0.47,0,0,693,1,0.9362,0.0,,1
Asian,1897.26,5051.3,0,0.7875,6.4,1,0,660,0,,,0.9876,1
Black,1636.83,4349.23,1,0.8549,1.96,0,0,546,1,0.7421,3.0,0.9123,1
Asian,3498.89,8734.37,1,0.5975,1.84,0,0,617,0,,,0.9188,1
White,2471.24,6150.92,1,0.8434,1.64,0,0,673,0,,,,1
White,3424.82,8408.72,1,0.9687,1.05,0,0,668,1,0.9091,0.0,,1
White,1980.49,5702.23,1,0.5217,0.78,0,0,651,1,0.9522,0.0,,1
Asian,1519.59,5350.26,1,0.7513,0.16,0,0,607,1,0.9062,2.0,,1
Black,1594.81,3746.6,1,0.8783,0.6,0,0,625,1,0.9916,1.0,0.8975,1
White,1553.56,5221.76,0,0.7007,1.52,0,0,675,1,0.8695,1.0,0.9181,0
White,1676.94,5223.81,0,0.3577,2.44,1,0,760,1,0.9621,0.0,,1
White,1401.22,3222.54,0,0.7794,0.85,0,0,600,1,0.8741,1.0,,1
Asian,1543.5,4305.2,1,0.9516,2.24,1,0,704,1,0.9611,0.0,0.9585,1
Indigenous,1703.22,4643.69,1,0.7531,1.43,0,0,637,0,,,0.9511,1
White,2798.23,6009.71,1,0.802,1.7,0,0,618,1,0.7965,3.0,0.9236,1
White,1933.41,6111.25,1,0.5643,3.32,0,0,664,1,0.8585,1.0,,1
Asian,951.16,4242.69,1,0.8075,2.25,0,0,620,1,0.9339,1.0,0.9904,1
White,1634.77,6127.35,1,0.5847,2.58,0,0,664,1,0.8787,1.0,0.9921,1
Indigenous,1383.64,4878.95,0,0.5485,6.83,0,0,746,1,0.9865,1.0,,1
White,904.59,1904.64,1,0.601,0.86,0,0,699,1,0.9607,0.0,0.8906,1
White,2020.49,4388.61,0,0.92,3.14,0,0,687,1,0.975,1.0,0.57,1
Other,2570.03,7586.0,0,0.4842,2.54,0,0,653,0,,,0.9262,1
White,1085.49,2886.45,1,0.2991,2.54,1,0,661,1,0.9929,3.0,0.8666,1
White,1981.24,5409.2,1,0.6685,2.06,0,0,716,1,0.9527,0.0,,1
White,2503.35,9056.66,1,0.7985,2.37,0,0,714,1,0.885,0.0,,1
White,1640.12,3984.63,0,0.9102,1.47,0,0,664,1,0.8892,0.0,,1
White,2165.21,5203.91,1,0.5766,1.86,0,0,605,1,0.9433,3.0,0.9668,1
White,896.1,3294.5,1,0.87,3.65,1,0,686,1,0.9281,3.0,0.909,1
White,3727.74,9190.68,0,0.7384,1.15,1,1,638,1,0.8362,2.0,0.8999,1
White,2071.6,5050.53,1,0.899,1.25,0,0,659,1,0.8581,0.0,0.8964,1
Asian,1761.95,5285.56,1,0.8593,2.43,0,0,672,1,0.9105,4.0,,1
Asian,3207.46,8353.36,1,0.4788,2.28,0,0,641,0,,,0.8388,1
White,2571.66,6554.66,1,0.9614,1.43,0,0,695,1,0.8976,2.0,0.978,1
White,1096.85,3827.41,0,0.6007,2.48,0,0,702,1,0.8581,1.0,0.9627,1
White,1166.71,4145.86,1,0.9089,2.46,1,0,729,1,0.9617,0.0,0.9305,1
Black,2322.31,6183.5,1,0.7117,6.19,0,0,703,1,0.9518,0.0,0.9272,1
Black,1820.05,4179.6,1,0.8243,7.46,1,0,680,1,0.9136,0.0,,1
White,954.59,2478.43,1,0.6889,8.24,1,1,672,1,0.9467,0.0,0.9666,1
White,1671.54,5104.0,1,0.9269,2.44,0,0,612,0,,,0.9088,1
White,1112.35,3097.47,0,0.785,3.35,0,0,693,0,,,,1
White,2947.58,9155.52,1,0.5934,2.4,0,0,647,1,0.805,1.0,0.9788,1
Asian,1424.18,5531.92,1,0.7922,1.72,1,0,629,0,,,0.8036,1
White,1428.96,3788.03,0,0.8274,2.56,0,1,706,1,0.942,0.0,,1
White,1649.56,4072.01,0,0.8432,1.7,0,1,695,1,0.8479,2.0,,0
White,1214.38,2684.16,1,0.4977,1.94,1,0,675,1,0.9143,1.0,0.919,1
White,1918.43,3539.01,0,0.6954,1.82,0,0,683,0,,,0.8274,1
White,2330.84,7421.43,1,0.7233,1.84,1,0,701,1,0.9708,3.0,,1
Black,4117.87,11356.43,1,0.7191,1.17,1,0,659,1,0.8961,2.0,,1
White,2630.54,6705.29,1,0.5245,3.15,0,0,676,1,0.9431,0.0,0.8921,1
Other,1356.18,5035.15,1,0.8621,2.51,1,0,726,1,0.9807,0.0,0.8777,1
White,1153.17,4470.38,0,0.7622,1.13,1,0,672,1,0.9297,2.0,0.9259,1
Black,1552.73,3720.6,0,0.6274,1.79,0,0,656,0,,,0.9371,1
Other,4264.78,10692.86,1,0.7582,0.82,1,0,684,1,0.9509,0.0,0.9475,1
Other,2026.95,4867.58,1,0.7597,2.16,0,0,699,1,0.9654,0.0,,1
Indigenous,3349.03,10903.99,0,0.5882,3.63,1,0,631,0,,,,1
Indigenous,3083.45,8468.81,1,0.7806,1.49,1,0,653,1,0.9659,2.0,0.9932,1
Asian,767.28,2827.46,1,0.8374,3.11,1,0,758,1,0.9737,1.0,,1
Indigenous,1162.18,4118.86,1,0.7465,1.85,1,0,678,1,0.9682,1.0,0.8574,1
White,1487.51,4114.4,1,0.6497,1.54,1,0,692,1,0.9467,2.0,0.8405,1
White,1525.36,5056.69,1,0.784,1.08,0,0,636,0,,,0.9519,1
White,2340.64,5091.38,1,0.625,1.66,0,0,652,1,0.7613,4.0,,1
Black,5000.0,14840.24,1,0.7337,3.17,0,0,699,1,0.951,0.0,0.9259,0
White,934.14,3566.66,1,0.8477,2.37,0,0,641,0,,,,1
White,1564.81,5633.88,1,0.7521,0.93,1,0,606,1,0.9293,1.0,0.9025,1
Asian,2736.85,6452.3,1,0.832,2.59,0,0,635,1,0.9055,2.0,0.9325,1
White,1610.81,5197.14,1,0.5208,2.11,0,0,714,1,0.9511,0.0,0.955,1
White,1483.07,5404.45,1,0.8433,0.83,0,0,593,1,0.876,0.0,,1
White,1255.64,3607.36,0,0.7309,0.65,1,0,616,0,,,0.8857,1
